WindowPosition,MeanQuality,SDQuality
1,55.3333333333,5.79271573233
2,61.0,4.32049379894
3,66.0,1.41421356237
4,68.3333333333,1.88561808316
5,60.3333333333,3.3993463424
6,63.0,2.94392028878
7,65.6666666667,0.471404520791
8,61.0,4.24264068712
9,62.3333333333,4.10960933531
10,65.3333333333,2.35702260396
11,60.6666666667,8.99382504215
12,63.0,0.816496580928
13,58.6666666667,3.29983164554
14,61.3333333333,4.49691252108
15,60.6666666667,3.3993463424
16,57.6666666667,5.79271573233
17,60.3333333333,2.86744175568
18,61.6666666667,1.6996731712
19,52.6666666667,10.3387082795
20,52.6666666667,13.9602610609
21,53.0,14.1656862406
22,51.6666666667,13.4246870437
23,47.6666666667,12.7104506433
24,45.6666666667,13.2748718345
25,50.6666666667,13.0213499897
26,50.6666666667,13.0213499897
27,43.3333333333,14.6135401445
28,43.3333333333,14.6135401445
29,43.3333333333,14.6135401445
30,43.3333333333,14.6135401445
